 lr: 2.500000e-05, epoch: [7500/150000], all_loss: [0.0431], m_loss:[0.0304], s_loss:[0.0127] 
 iCoseg Cosal2015 f: [0.8414], m: [0.0793], f: [0.8424], m: [0.0929]
 lr: 2.500000e-05, epoch: [7600/150000], all_loss: [0.0361], m_loss:[0.0215], s_loss:[0.0146] 
 lr: 2.500000e-05, epoch: [7700/150000], all_loss: [0.0915], m_loss:[0.0617], s_loss:[0.0297] 
 lr: 2.500000e-05, epoch: [7800/150000], all_loss: [0.0342], m_loss:[0.0229], s_loss:[0.0113] 
 lr: 2.500000e-05, epoch: [7900/150000], all_loss: [0.0629], m_loss:[0.0397], s_loss:[0.0232] 
 lr: 2.500000e-05, epoch: [8000/150000], all_loss: [0.0421], m_loss:[0.0273], s_loss:[0.0147] 
 lr: 2.500000e-05, epoch: [8100/150000], all_loss: [0.0464], m_loss:[0.0312], s_loss:[0.0152] 
 lr: 2.500000e-05, epoch: [8200/150000], all_loss: [0.0797], m_loss:[0.0562], s_loss:[0.0234] 
 lr: 2.500000e-05, epoch: [8300/150000], all_loss: [0.0444], m_loss:[0.0255], s_loss:[0.0189] 
 lr: 2.500000e-05, epoch: [8400/150000], all_loss: [0.0463], m_loss:[0.0242], s_loss:[0.0221] 
 lr: 2.500000e-05, epoch: [8500/150000], all_loss: [0.0320], m_loss:[0.0194], s_loss:[0.0127] 
 lr: 2.500000e-05, epoch: [8600/150000], all_loss: [0.0184], m_loss:[0.0115], s_loss:[0.0069] 
 lr: 2.500000e-05, epoch: [8700/150000], all_loss: [0.0298], m_loss:[0.0216], s_loss:[0.0083] 
 lr: 2.500000e-05, epoch: [8800/150000], all_loss: [0.0427], m_loss:[0.0286], s_loss:[0.0141] 
 lr: 2.500000e-05, epoch: [8900/150000], all_loss: [0.0557], m_loss:[0.0345], s_loss:[0.0212] 
 lr: 2.500000e-05, epoch: [9000/150000], all_loss: [0.0436], m_loss:[0.0310], s_loss:[0.0126] 
 lr: 2.500000e-05, epoch: [9100/150000], all_loss: [0.0666], m_loss:[0.0393], s_loss:[0.0272] 
 lr: 2.500000e-05, epoch: [9200/150000], all_loss: [0.0500], m_loss:[0.0372], s_loss:[0.0127] 
 lr: 2.500000e-05, epoch: [9300/150000], all_loss: [0.0781], m_loss:[0.0533], s_loss:[0.0247] 
 lr: 2.500000e-05, epoch: [9400/150000], all_loss: [0.0251], m_loss:[0.0131], s_loss:[0.0120] 
 lr: 2.500000e-05, epoch: [9500/150000], all_loss: [0.0770], m_loss:[0.0535], s_loss:[0.0235] 
 lr: 2.500000e-05, epoch: [9600/150000], all_loss: [0.0485], m_loss:[0.0323], s_loss:[0.0163] 
 lr: 2.500000e-05, epoch: [9700/150000], all_loss: [0.0930], m_loss:[0.0661], s_loss:[0.0268] 
 lr: 2.500000e-05, epoch: [9800/150000], all_loss: [0.0795], m_loss:[0.0577], s_loss:[0.0218] 
 lr: 2.500000e-05, epoch: [9900/150000], all_loss: [0.0663], m_loss:[0.0449], s_loss:[0.0214] 
 lr: 2.500000e-05, epoch: [10000/150000], all_loss: [0.0309], m_loss:[0.0203], s_loss:[0.0105] 
 iCoseg Cosal2015 f: [0.8413], m: [0.0764], f: [0.8433], m: [0.0878]
 lr: 2.500000e-05, epoch: [10100/150000], all_loss: [0.0733], m_loss:[0.0490], s_loss:[0.0243] 
 lr: 2.500000e-05, epoch: [10200/150000], all_loss: [0.0759], m_loss:[0.0485], s_loss:[0.0274] 
 lr: 2.500000e-05, epoch: [10300/150000], all_loss: [0.0595], m_loss:[0.0400], s_loss:[0.0195] 
 lr: 2.500000e-05, epoch: [10400/150000], all_loss: [0.0739], m_loss:[0.0516], s_loss:[0.0224] 
 lr: 2.500000e-05, epoch: [10500/150000], all_loss: [0.0724], m_loss:[0.0444], s_loss:[0.0280] 
 lr: 2.500000e-05, epoch: [10600/150000], all_loss: [0.0465], m_loss:[0.0307], s_loss:[0.0158] 
 lr: 2.500000e-05, epoch: [10700/150000], all_loss: [0.0384], m_loss:[0.0255], s_loss:[0.0130] 
 lr: 2.500000e-05, epoch: [10800/150000], all_loss: [0.0505], m_loss:[0.0269], s_loss:[0.0236] 
 lr: 2.500000e-05, epoch: [10900/150000], all_loss: [0.0659], m_loss:[0.0464], s_loss:[0.0195] 
 lr: 2.500000e-05, epoch: [11000/150000], all_loss: [0.0315], m_loss:[0.0189], s_loss:[0.0126] 
 lr: 2.500000e-05, epoch: [11100/150000], all_loss: [0.0402], m_loss:[0.0219], s_loss:[0.0183] 
 lr: 2.500000e-05, epoch: [11200/150000], all_loss: [0.0657], m_loss:[0.0449], s_loss:[0.0208] 
 lr: 2.500000e-05, epoch: [11300/150000], all_loss: [0.0492], m_loss:[0.0325], s_loss:[0.0168] 
 lr: 2.500000e-05, epoch: [11400/150000], all_loss: [0.0607], m_loss:[0.0337], s_loss:[0.0270] 
 lr: 2.500000e-05, epoch: [11500/150000], all_loss: [0.0156], m_loss:[0.0087], s_loss:[0.0070] 
 lr: 2.500000e-05, epoch: [11600/150000], all_loss: [0.0973], m_loss:[0.0636], s_loss:[0.0337] 
 lr: 2.500000e-05, epoch: [11700/150000], all_loss: [0.0559], m_loss:[0.0397], s_loss:[0.0162] 
 lr: 2.500000e-05, epoch: [11800/150000], all_loss: [0.0595], m_loss:[0.0384], s_loss:[0.0211] 
 lr: 2.500000e-05, epoch: [11900/150000], all_loss: [0.0341], m_loss:[0.0241], s_loss:[0.0100] 
 lr: 2.500000e-05, epoch: [12000/150000], all_loss: [0.0671], m_loss:[0.0494], s_loss:[0.0177] 
